Sales in Thousands,Year Resale Value,Price in Thousands,Engine Size,Horsepower,Wheelbase,Width,Length,Curb Weight,Fuel Capacity,Fuel Efficiency,Power Perf Factor,Vehicle Type Car,Vehicle Type Passenger
73.203,17.71,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,60.08796662,1,0
12.855,17.525,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,83.6025008,1,0
76.029,19.49,26,3.5,210,118.1,75.6,201.2,4.288,20,23,85.21769134,1,0
41.184,5.86,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,36.67228358,0,1
66.692,7.825,11.799,2,140,100.4,66.9,174,2.626,14.5,27,54.59004516,0,1
29.45,8.91,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,58.758249,0,1
23.713,19.69,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,92.43688923,0,1
55.557,13.475,14.46,2.5,120,93.4,66.7,152,3.045,19,17,48.67289791,1,0
80.556,13.775,21.62,4,190,101.4,69.4,167.5,3.194,20,20,76.58443962,1,0
157.04,18.81,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,80.38777912,1,0
24.072,26.975,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,87.21100104,0,1
13.798,20.525,39.08,4.6,275,109,73.6,208.5,3.868,20,22,113.5402069,0,1
26.232,8.325,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30,45.83218056,0,1
42.541,10.395,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24,62.44196235,0,1
55.616,10.595,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25,58.60677292,0,1
5.711,16.575,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,84.83077858,0,1
0.11,20.94,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,67.54415494,0,1
11.337,19.125,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,83.92081504,1,0
39.348,13.88,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20,70.66094179,1,0
14.351,8.8,16.24,2,125,106.5,69.1,184.8,2.769,15,28,50.99774761,0,1
26.529,13.89,16.54,2,125,106.4,69.6,185,2.892,16,30,51.11347426,0,1
67.956,11.03,19.035,3,153,108.5,73,199.7,3.379,16,24,62.23996663,0,1
81.174,14.875,22.605,4.6,200,114.7,78.2,212,3.958,19,21,80.65769646,0,1
27.609,20.43,27.56,4,210,111.6,70.2,190.1,3.876,21,18,85.94974425,1,0
20.38,14.795,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,69.671461,1,0
18.392,26.05,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,78.28073088,0,1
42.643,8.45,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,50.24197791,0,1
88.094,11.295,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,63.31372783,0,1
79.853,15.125,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25,89.42782031,0,1
27.308,15.38,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21,71.17166413,1,0
42.574,17.81,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,72.29035508,1,0
1.112,11.24,18.145,3.1,150,107,69.4,192,3.102,15.2,25,60.86161155,0,1
14.69,19.89,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,103.4416926,0,1
20.017,19.925,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,80.51167259,1,0
24.361,15.24,25.345,3.4,185,120,72.2,201.4,3.948,25,22,76.09657042,1,0
32.734,7.75,12.64,2,132,105,74.4,174.4,2.559,12.5,29,52.08489875,0,1
5.24,9.8,16.08,2,132,108,71,186.3,2.942,16,27,53.41189767,0,1
24.155,12.025,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,60.95118512,1,0
51.645,13.79,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,62.0158703,0,1
131.097,10.29,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,70.38973726,0,1
19.911,17.805,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,81.49272616,0,1
92.364,14.01,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,78.31816813,0,1
35.945,13.225,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,82.6613556,0,1
80.62,9.2,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,39.98642475,0,1
24.546,10.59,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,40.70007242,0,1
5.223,10.79,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,49.86577367,0,1
142.535,10.025,13.108,1.8,120,97,66.7,174,2.42,13.2,33,47.96897242,0,1
247.994,13.245,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,54.37241965,0,1
63.849,18.14,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,84.91189826,0,1
33.269,15.445,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,56.49603034,0,1
84.087,9.575,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,55.29711658,1,0
25.106,13.325,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,51.95510887,1,0
68.411,19.425,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,62.35557713,1,0
9.761,11.425,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,46.94387676,0,1
83.721,13.24,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,47.63823666,0,1
51.102,16.725,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,61.70138136,0,1
9.569,16.575,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,48.90737225,0,1
5.596,13.76,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,47.94684106,0,1
