matchId,playerId,playType,bodyPart,x,y,interveningOpponents,interveningTeammates,interferenceOnShooter,minute,second,outcome
m_59,p_139,open play,right foot,12.72,4.74,3,0,medium,50,8,goal
m_61,p_41,open play,right foot,23.44,-7.23,3,0,low,29,58,missed chance
m_134,p_140,free kick,right foot,27.93,2.99,8,3,low,39,9,saved by keeper
m_132,p_61,open play,left foot,24.69,0.75,2,0,low,18,33,saved by keeper
m_92,p_86,penalty,left foot,10.97,0,1,0,low,58,41,goal
m_114,p_141,open play,right foot,8.98,13.97,3,0,high,4,20,missed chance
m_62,p_147,open play,head,8.23,-5.49,2,0,low,85,36,missed chance
m_9,p_40,open play,head,9.73,2,3,0,medium,46,47,goal
m_144,p_82,free kick,left foot,21.95,-2.49,5,0,low,86,30,goal
m_96,p_20,open play,right foot,10.72,15.96,3,1,medium,23,32,saved by keeper
m_184,p_144,open play,left foot,13.72,9.23,2,0,low,15,25,saved by keeper
m_177,p_7,open play,right foot,3.49,-4.74,2,0,high,23,9,goal
m_91,p_59,open play,left foot,9.23,-10.72,4,0,high,35,26,blocked shot
m_154,p_90,open play,left foot,5.24,-1.75,1,0,low,90,2,missed chance
m_88,p_45,open play,head,7.98,0.5,1,0,low,68,39,missed chance
m_143,p_91,open play,left foot,16.71,-11.47,3,1,high,63,31,saved by keeper
m_148,p_112,open play,left foot,13.72,-1.75,3,0,medium,68,44,blocked shot
m_196,p_154,open play,right foot,9.73,-7.73,1,0,medium,89,20,goal
m_51,p_1,open play,head,15.21,-1.75,2,0,high,72,41,saved by keeper
m_62,p_78,open play,left foot,10.23,8.98,1,0,high,44,39,saved by keeper
m_202,p_129,open play,head,7.73,-8.73,3,0,medium,40,12,saved by keeper
m_216,p_134,open play,right foot,15.96,5.24,6,0,medium,85,9,blocked shot
m_187,p_153,open play,left foot,9.73,10.47,1,0,low,60,44,missed chance
m_235,p_49,open play,head,11.47,8.73,2,0,high,16,14,blocked shot
m_240,p_100,open play,right foot,22.44,-5.99,3,1,medium,23,13,missed chance
m_10,p_61,open play,left foot,12.72,-14.96,3,0,medium,67,45,missed chance
m_33,p_99,open play,right foot,27.43,-13.47,2,0,medium,72,11,blocked shot
m_86,p_40,open play,right foot,19.95,12.47,3,0,low,59,45,saved by keeper
m_26,p_10,open play,left foot,4.24,11.97,2,0,medium,64,6,blocked shot
m_93,p_141,open play,right foot,26.19,3.24,3,1,medium,56,48,saved by keeper
m_149,p_136,open play,right foot,24.44,-14.71,3,0,low,51,49,goal
m_99,p_73,open play,left foot,6.24,4.99,1,0,low,21,54,missed chance
m_131,p_131,open play,right foot,17.46,11.97,1,0,low,78,5,saved by keeper
m_139,p_31,open play,left foot,31.67,-20.7,1,0,low,27,6,saved by keeper
m_209,p_135,open play,left foot,26.43,6.48,4,0,high,63,49,missed chance
m_65,p_17,open play,head,6.73,7.23,1,0,low,16,42,missed chance
m_25,p_144,open play,right foot,27.93,1.5,5,1,medium,41,11,blocked shot
m_167,p_66,open play,right foot,10.97,-17.96,3,1,low,77,1,saved by keeper
m_224,p_61,open play,right foot,7.98,3.49,1,0,low,66,59,missed chance
m_226,p_96,open play,right foot,13.97,-5.49,2,0,low,13,33,missed chance
m_59,p_129,open play,head,8.98,4.49,5,2,low,91,2,missed chance
m_238,p_21,open play,right foot,5.74,-12.72,2,0,low,33,57,saved by keeper
m_179,p_88,open play,right foot,9.73,-4.99,3,0,medium,58,2,goal
m_217,p_72,open play,right foot,25.44,-3.24,2,0,low,41,45,saved by keeper
m_86,p_9,open play,right foot,10.23,3.49,2,0,medium,49,43,missed chance
m_56,p_65,open play,right foot,13.97,-6.48,1,0,low,27,10,hit the post
m_121,p_78,open play,left foot,11.22,5.49,2,0,medium,80,3,blocked shot
m_191,p_151,open play,right foot,10.23,-7.73,1,0,high,71,25,missed chance
m_29,p_72,open play,head,5.99,5.99,2,0,medium,27,59,goal
m_198,p_128,free kick,right foot,8.48,20.95,6,2,low,89,45,hit the post
m_107,p_103,open play,right foot,8.23,13.47,3,0,medium,60,13,saved by keeper
m_155,p_131,open play,right foot,15.21,-2,2,0,low,34,23,saved by keeper
m_91,p_4,penalty,right foot,10.97,0,1,0,low,54,31,goal
m_173,p_119,open play,left foot,11.97,9.73,4,1,medium,18,32,blocked shot
m_224,p_35,open play,left foot,7.48,-4.24,1,0,low,48,42,goal
m_74,p_125,open play,head,5.49,6.73,4,0,high,45,59,missed chance
m_226,p_5,open play,right foot,8.48,-5.49,1,0,low,14,28,goal
m_198,p_64,open play,right foot,20.2,7.48,2,0,high,74,56,missed chance
m_208,p_55,open play,right foot,22.69,2.74,4,1,medium,16,39,blocked shot
m_62,p_122,open play,right foot,14.96,4.74,2,0,medium,17,40,saved by keeper
m_208,p_156,open play,left foot,12.47,-3.99,2,0,low,63,17,saved by keeper
m_143,p_94,open play,left foot,21.2,-3.99,2,0,high,53,36,goal
m_237,p_86,open play,left foot,5.24,3.24,1,0,low,30,40,goal
m_67,p_90,open play,head,13.22,-1,2,0,high,56,43,missed chance
m_92,p_21,open play,left foot,15.96,-10.23,1,0,low,2,59,saved by keeper
m_137,p_60,open play,right foot,19.2,9.98,1,0,medium,70,30,blocked shot
m_145,p_17,open play,head,9.48,2.74,3,1,high,13,10,blocked shot
m_11,p_25,open play,right foot,10.23,-9.73,2,0,low,19,45,blocked shot
m_124,p_155,open play,head,6.98,-1.5,2,0,medium,55,22,missed chance
m_80,p_38,open play,right foot,8.98,-2,1,0,low,73,6,goal
m_145,p_58,open play,other,11.47,-4.24,1,0,low,50,48,saved by keeper
m_200,p_148,open play,left foot,5.99,11.22,1,0,medium,61,17,missed chance
m_102,p_27,open play,left foot,15.71,-10.23,3,0,medium,56,59,missed chance
m_67,p_122,open play,right foot,19.45,1.25,3,0,medium,67,56,saved by keeper
m_187,p_62,free kick,left foot,27.93,-13.97,5,2,low,59,11,saved by keeper
m_133,p_124,penalty,right foot,10.97,0,1,0,low,85,19,goal
m_205,p_1,open play,other,4.99,1,2,0,medium,35,52,blocked shot
m_57,p_58,open play,right foot,9.23,-4.24,2,0,high,24,34,blocked shot
m_156,p_70,open play,left foot,23.69,-4.99,3,0,high,69,51,blocked shot
m_30,p_4,open play,head,8.48,4.49,1,0,low,57,28,missed chance
m_161,p_105,open play,left foot,10.47,-0.75,3,0,low,87,59,goal
m_216,p_149,open play,right foot,15.46,-1.5,2,1,low,55,42,missed chance
m_54,p_107,open play,right foot,7.48,5.49,2,0,medium,39,32,missed chance
m_98,p_97,open play,right foot,18.45,10.72,3,0,medium,50,53,missed chance
m_125,p_154,open play,head,4.99,-1.5,2,0,low,67,9,goal
m_65,p_99,open play,head,7.98,-2.49,3,0,medium,82,49,hit the post
m_155,p_92,open play,right foot,23.19,-9.48,4,1,medium,76,59,missed chance
m_237,p_16,open play,right foot,19.2,-0.75,3,0,medium,36,0,blocked shot
m_143,p_38,open play,right foot,11.22,-5.74,2,0,medium,76,2,blocked shot
m_39,p_125,open play,right foot,13.47,-11.97,2,0,medium,58,13,goal
m_114,p_142,open play,other,6.48,-2.24,2,0,medium,53,28,saved by keeper
m_4,p_2,open play,right foot,16.96,3.99,3,1,medium,83,0,saved by keeper
m_44,p_29,open play,left foot,8.48,16.71,2,0,medium,63,53,missed chance
m_141,p_1,penalty,right foot,10.97,0,1,0,low,81,24,goal
m_161,p_100,open play,head,13.22,2.24,2,0,high,45,49,missed chance
m_206,p_33,penalty,right foot,10.97,0,1,0,low,7,48,goal
m_195,p_46,open play,left foot,13.97,-10.97,2,0,low,20,41,saved by keeper
m_22,p_123,open play,left foot,29.18,-7.48,4,0,low,90,13,missed chance
m_20,p_76,open play,left foot,22.94,-3.74,4,1,low,71,15,missed chance
m_69,p_159,open play,left foot,14.46,12.72,4,0,high,40,55,blocked shot
m_131,p_67,open play,head,2.49,11.72,2,1,low,5,36,blocked shot
m_209,p_126,open play,right foot,12.72,-1.75,2,0,medium,91,41,missed chance
m_160,p_16,open play,right foot,11.47,-10.23,2,0,high,33,57,hit the post
m_140,p_29,free kick,left foot,19.45,-14.71,7,2,low,38,6,goal
m_122,p_32,open play,right foot,9.23,-1.5,1,0,medium,17,50,missed chance
m_201,p_134,open play,right foot,24.19,5.99,3,0,low,5,6,blocked shot
m_206,p_60,open play,right foot,9.73,-9.73,1,0,medium,53,14,missed chance
m_112,p_67,open play,head,2.49,0.75,1,0,medium,71,41,missed chance
m_94,p_139,open play,right foot,25.44,6.73,3,2,low,65,20,missed chance
m_236,p_135,open play,right foot,20.45,-9.98,3,0,medium,12,7,blocked shot
m_195,p_44,open play,left foot,5.99,-12.22,3,0,medium,48,34,missed chance
m_9,p_5,open play,right foot,12.97,-16.96,2,0,medium,23,13,saved by keeper
m_156,p_85,open play,right foot,13.72,11.22,2,0,medium,47,50,saved by keeper
m_68,p_130,open play,left foot,19.95,-10.72,4,0,low,90,9,missed chance
m_231,p_74,open play,right foot,4.49,-5.74,1,0,low,7,31,blocked shot
m_165,p_114,open play,right foot,20.7,14.46,3,0,medium,64,0,hit the post
m_156,p_90,open play,left foot,11.22,9.48,1,0,low,10,22,saved by keeper
m_133,p_93,open play,right foot,6.73,-2,2,0,high,41,33,saved by keeper
m_173,p_5,open play,left foot,7.98,7.98,3,0,medium,3,35,saved by keeper
m_233,p_82,open play,head,11.72,0.25,3,0,low,63,12,missed chance
m_121,p_101,open play,left foot,18.21,14.22,1,0,medium,63,9,missed chance
m_235,p_40,open play,right foot,2,-12.22,2,0,high,14,4,blocked shot
m_182,p_48,open play,right foot,21.95,13.47,3,0,medium,8,37,missed chance
m_164,p_114,open play,left foot,20.95,-15.46,3,0,high,82,7,missed chance
m_205,p_132,open play,right foot,12.22,0.25,2,0,medium,80,13,missed chance
m_81,p_82,open play,left foot,14.22,9.98,2,0,high,12,19,blocked shot
m_213,p_30,open play,left foot,26.43,-3.49,2,0,medium,13,30,saved by keeper
m_6,p_12,open play,right foot,23.19,12.47,5,3,low,44,26,saved by keeper
m_148,p_132,open play,left foot,26.68,-9.23,5,2,low,51,23,missed chance
m_63,p_89,open play,head,8.73,-2,1,0,medium,24,57,missed chance
m_55,p_11,open play,other,6.48,2,2,0,medium,61,45,blocked shot
m_89,p_27,open play,left foot,23.44,-9.73,3,0,medium,8,24,blocked shot
m_111,p_18,open play,left foot,28.68,16.96,3,0,medium,5,41,missed chance
m_222,p_119,open play,left foot,17.96,2.74,2,0,low,48,23,missed chance
m_178,p_119,open play,right foot,11.22,15.96,3,0,medium,11,10,saved by keeper
m_48,p_133,open play,right foot,27.93,11.72,2,0,medium,12,41,missed chance
m_46,p_142,open play,head,6.73,-5.24,3,0,medium,56,1,saved by keeper
m_121,p_158,open play,right foot,10.47,-10.72,1,0,low,26,16,goal
m_236,p_43,open play,head,13.97,3.74,1,0,low,42,32,goal
m_51,p_42,open play,left foot,24.69,-1.75,4,1,low,84,54,missed chance
m_33,p_65,open play,right foot,21.45,-2.49,2,0,high,14,30,missed chance
m_26,p_157,open play,head,8.73,-4.24,2,0,high,58,4,missed chance
m_35,p_139,open play,left foot,8.48,18.45,4,1,medium,51,25,saved by keeper
m_187,p_143,open play,right foot,8.23,-1.25,1,0,medium,6,36,missed chance
m_201,p_135,free kick,right foot,27.18,1.75,7,2,low,19,40,blocked shot
m_146,p_109,open play,head,11.22,3.99,2,0,medium,47,43,saved by keeper
m_89,p_60,open play,head,12.72,0.5,2,0,high,39,42,saved by keeper
m_136,p_33,penalty,left foot,10.97,0,1,0,low,75,51,goal
m_101,p_126,open play,right foot,4.74,-4.24,2,0,high,23,15,blocked shot
m_28,p_138,open play,right foot,18.21,-1.5,2,1,medium,13,35,blocked shot
m_69,p_93,open play,left foot,4.49,11.47,2,0,high,44,50,saved by keeper
m_114,p_88,open play,right foot,8.48,-13.72,2,0,low,43,54,missed chance
m_1,p_16,open play,right foot,6.98,-0.5,1,0,low,32,48,goal
m_168,p_96,open play,left foot,20.7,13.72,2,0,low,64,20,missed chance
m_32,p_124,open play,right foot,0.75,-11.72,1,0,low,89,48,missed chance
m_107,p_95,open play,head,7.48,3.99,2,0,high,78,15,missed chance
m_18,p_89,open play,right foot,20.95,-14.46,2,0,low,39,52,blocked shot
m_95,p_94,open play,left foot,8.48,-0.5,2,0,medium,15,13,saved by keeper
m_6,p_42,free kick,right foot,27.68,-8.73,7,1,low,33,5,missed chance
m_68,p_115,open play,right foot,10.47,-4.24,1,0,low,42,35,goal
m_11,p_116,open play,right foot,19.7,-4.49,2,0,medium,22,35,goal
m_36,p_18,free kick,right foot,24.19,-4.49,4,1,low,34,52,missed chance
m_47,p_154,open play,left foot,18.95,4.74,3,2,low,41,29,missed chance
m_190,p_14,open play,left foot,4.24,6.48,2,0,low,63,40,missed chance
m_131,p_132,open play,right foot,23.19,-8.23,3,0,low,0,52,saved by keeper
m_214,p_158,open play,right foot,22.94,-10.72,3,1,low,16,56,saved by keeper
m_126,p_39,penalty,right foot,10.97,0,1,0,low,29,24,saved by keeper
m_52,p_48,open play,right foot,11.72,11.47,1,0,low,50,39,blocked shot
m_201,p_119,open play,head,5.99,1,1,0,medium,47,6,goal
m_198,p_64,open play,right foot,14.22,-3.24,6,2,medium,17,46,blocked shot
m_208,p_145,open play,right foot,18.21,11.97,3,1,medium,84,37,blocked shot
m_127,p_42,open play,left foot,13.97,-1.75,1,0,medium,55,31,saved by keeper
m_136,p_85,open play,right foot,4.49,-0.75,2,0,low,1,36,goal
m_117,p_49,open play,left foot,9.73,7.48,2,0,medium,6,0,missed chance
m_145,p_97,open play,left foot,21.45,-22.94,6,2,low,69,59,missed chance
m_146,p_103,open play,right foot,1.75,-7.48,2,0,low,82,47,saved by keeper
m_3,p_43,open play,right foot,15.46,0.25,4,1,medium,58,42,missed chance
m_178,p_21,open play,left foot,22.2,12.97,3,0,low,4,24,saved by keeper
m_19,p_119,open play,left foot,23.19,4.99,3,0,medium,83,18,missed chance
m_45,p_160,open play,right foot,10.23,-7.73,2,0,medium,44,34,missed chance
m_214,p_26,open play,left foot,12.97,-5.74,2,0,high,16,18,missed chance
m_39,p_138,free kick,left foot,20.95,12.97,6,1,low,43,26,saved by keeper
m_236,p_157,open play,right foot,24.44,-5.74,2,0,high,50,44,missed chance
m_140,p_133,open play,head,9.23,3.49,2,0,medium,84,44,missed chance
m_87,p_43,open play,right foot,22.44,1.5,2,0,medium,21,52,missed chance
m_163,p_146,open play,right foot,15.21,17.46,2,0,medium,65,9,saved by keeper
m_222,p_29,open play,left foot,7.23,12.97,2,0,high,79,53,blocked shot
m_12,p_144,open play,right foot,3.99,-10.23,2,0,medium,66,15,saved by keeper
m_225,p_139,open play,right foot,31.42,5.49,5,3,low,12,12,missed chance
m_160,p_57,open play,right foot,14.46,-10.97,3,0,high,75,39,missed chance
m_61,p_92,open play,left foot,1.75,0.75,1,0,medium,65,36,saved by keeper
m_183,p_44,open play,left foot,13.47,-6.98,2,0,high,29,40,blocked shot
m_16,p_136,open play,left foot,9.73,7.48,1,0,medium,77,30,saved by keeper
m_97,p_123,open play,right foot,25.19,6.98,5,2,low,58,55,missed chance
m_32,p_108,open play,head,8.48,-7.23,3,0,high,10,53,missed chance
m_6,p_35,open play,right foot,9.73,-8.73,3,0,medium,42,33,blocked shot
m_23,p_46,open play,right foot,21.95,-16.96,2,0,medium,57,55,missed chance
m_78,p_139,open play,right foot,8.23,-7.23,1,0,low,5,1,missed chance
m_14,p_50,open play,right foot,10.97,-9.98,1,0,low,62,42,missed chance
m_226,p_139,open play,right foot,10.23,-15.46,3,0,medium,19,6,missed chance
m_141,p_6,open play,right foot,10.23,-3.49,1,0,medium,35,43,goal
m_79,p_97,open play,right foot,20.45,3.99,2,0,medium,20,48,missed chance
m_62,p_106,open play,right foot,13.22,15.96,2,0,medium,89,51,blocked shot
m_157,p_150,open play,left foot,29.68,9.98,4,0,low,41,7,missed chance
m_230,p_51,open play,head,7.48,-2.49,1,0,low,47,53,missed chance
m_188,p_148,open play,right foot,21.2,11.72,2,0,low,32,16,goal
m_137,p_101,open play,right foot,24.19,10.23,2,0,medium,12,40,saved by keeper
m_39,p_9,open play,right foot,18.7,13.47,2,0,low,86,46,missed chance
m_141,p_23,open play,right foot,21.2,10.23,3,1,low,3,46,goal
m_149,p_54,open play,left foot,20.2,-16.21,2,0,medium,68,23,saved by keeper
m_196,p_56,open play,right foot,26.93,-5.24,2,0,medium,24,6,saved by keeper
m_70,p_116,open play,left foot,6.24,-3.49,3,0,medium,3,21,saved by keeper
m_159,p_149,open play,right foot,7.98,-15.21,2,0,low,36,21,missed chance
m_220,p_85,open play,left foot,12.47,3.49,1,0,medium,63,30,saved by keeper
m_147,p_151,open play,right foot,14.96,4.99,3,0,medium,72,57,blocked shot
m_21,p_92,open play,left foot,19.2,-13.47,3,0,medium,46,22,blocked shot
m_145,p_33,open play,right foot,16.46,-13.72,2,0,medium,19,6,saved by keeper
m_126,p_157,open play,right foot,21.95,-15.46,3,0,low,19,30,saved by keeper
m_88,p_104,open play,left foot,10.47,-7.73,1,0,low,13,13,missed chance
m_143,p_152,open play,left foot,3.24,-2,0,0,medium,45,21,goal
m_14,p_90,open play,right foot,14.96,15.71,2,0,medium,66,23,missed chance
m_30,p_102,free kick,right foot,31.67,-1.25,5,1,low,66,34,saved by keeper
m_106,p_44,open play,right foot,18.7,-7.23,4,1,medium,83,21,goal
m_107,p_116,open play,left foot,24.44,10.72,3,1,medium,61,17,missed chance
m_91,p_67,open play,right foot,23.69,14.96,2,1,medium,92,57,saved by keeper
m_233,p_86,open play,right foot,17.21,-1.5,5,1,low,72,40,missed chance
m_78,p_29,open play,left foot,26.43,-1,3,0,medium,38,43,missed chance
m_145,p_155,open play,right foot,8.48,11.22,2,0,medium,72,21,blocked shot
m_217,p_131,open play,right foot,25.44,-23.44,1,0,medium,34,21,missed chance
m_195,p_96,open play,left foot,26.93,0.25,3,0,low,76,29,saved by keeper
m_126,p_82,open play,left foot,9.23,-13.22,4,1,medium,2,43,missed chance
m_154,p_72,open play,right foot,12.72,-8.48,1,0,low,68,47,missed chance
m_36,p_94,open play,right foot,15.71,16.96,3,0,high,79,30,missed chance
m_17,p_128,free kick,left foot,22.44,9.48,8,3,low,28,7,blocked shot
m_131,p_87,open play,right foot,7.48,-12.72,1,0,medium,47,57,missed chance
m_30,p_67,open play,right foot,23.44,14.22,3,2,low,74,22,missed chance
m_232,p_127,open play,left foot,21.2,-14.22,4,0,medium,70,40,blocked shot
m_119,p_12,open play,head,9.73,3.99,2,0,high,35,13,missed chance
m_168,p_77,open play,right foot,31.17,1.75,2,0,low,27,9,missed chance
m_202,p_65,penalty,right foot,10.97,0,1,0,low,54,38,goal
m_117,p_89,open play,head,6.48,-3.24,1,0,medium,91,55,missed chance
m_211,p_79,open play,left foot,3.74,-0.5,0,0,medium,9,19,goal
m_5,p_43,open play,right foot,19.45,-9.23,2,0,medium,45,4,goal
m_112,p_128,open play,right foot,21.95,0.75,2,1,medium,80,13,saved by keeper
m_208,p_88,free kick,left foot,23.44,-17.96,4,0,low,51,56,missed chance
m_145,p_25,free kick,right foot,21.2,-8.23,8,2,low,35,11,saved by keeper
m_134,p_148,open play,left foot,21.2,9.98,3,0,medium,30,46,blocked shot
m_196,p_33,open play,left foot,22.69,5.49,4,0,medium,61,52,saved by keeper
m_17,p_142,open play,head,2.24,5.49,1,0,high,77,2,missed chance
m_201,p_12,open play,right foot,10.47,-8.23,3,0,medium,45,27,hit the post
m_203,p_15,open play,head,6.98,0.25,1,0,medium,16,11,missed chance
m_74,p_48,open play,right foot,8.73,6.98,2,0,high,4,1,blocked shot
m_201,p_58,open play,right foot,8.48,-2.74,2,0,high,16,9,missed chance
m_181,p_156,penalty,right foot,10.97,0,1,0,low,86,29,goal
m_126,p_66,open play,right foot,28.93,-1.25,3,0,medium,70,52,missed chance
m_129,p_136,open play,head,12.22,1.75,5,1,high,8,56,hit the post
m_30,p_154,open play,right foot,13.22,11.72,4,0,medium,46,29,blocked shot
m_194,p_156,free kick,left foot,20.7,0.75,7,2,low,81,29,missed chance
m_63,p_44,open play,left foot,19.95,14.96,5,2,medium,75,15,missed chance
m_91,p_152,open play,left foot,19.45,-13.47,3,2,high,46,22,saved by keeper
m_204,p_51,open play,right foot,17.46,-9.98,1,0,medium,84,1,blocked shot
m_85,p_157,open play,head,3.99,6.98,2,0,medium,49,13,saved by keeper
m_43,p_130,open play,right foot,21.7,0.25,2,0,medium,56,58,missed chance
m_119,p_68,open play,right foot,25.19,-4.24,3,1,medium,73,55,blocked shot
m_6,p_36,open play,right foot,28.68,11.47,3,0,medium,77,48,missed chance
m_151,p_104,open play,right foot,23.94,7.98,3,0,low,12,7,saved by keeper
m_26,p_41,open play,left foot,25.69,15.71,5,1,low,70,10,missed chance
m_172,p_81,open play,other,12.47,7.48,2,0,medium,34,17,missed chance
m_118,p_135,open play,right foot,25.94,-16.71,3,0,medium,33,15,missed chance
m_118,p_32,open play,right foot,9.23,14.71,3,0,high,23,48,blocked shot
m_71,p_107,open play,left foot,14.71,-4.49,2,0,high,72,29,missed chance
m_164,p_17,open play,left foot,27.93,0.25,5,1,low,85,15,blocked shot
m_140,p_108,open play,head,12.72,0.25,2,0,low,66,35,missed chance
m_176,p_93,open play,left foot,11.97,7.98,2,0,low,21,9,missed chance
m_178,p_11,open play,head,1.25,-6.48,2,1,low,43,49,missed chance
m_177,p_46,open play,right foot,30.67,3.24,5,2,low,40,25,missed chance
m_236,p_41,open play,head,8.48,3.99,2,0,high,24,19,goal
m_7,p_1,open play,left foot,26.68,2.74,3,1,medium,71,42,missed chance
m_144,p_4,open play,right foot,26.43,13.47,3,1,low,59,22,saved by keeper
m_49,p_53,open play,right foot,23.69,-4.99,4,0,low,79,27,blocked shot
m_211,p_42,open play,left foot,9.23,18.21,2,0,low,58,57,missed chance
m_174,p_139,open play,head,8.48,2.74,2,0,medium,45,4,missed chance
m_74,p_8,open play,left foot,12.47,9.73,3,0,high,89,43,blocked shot
m_11,p_53,open play,head,4.49,2.99,1,0,medium,6,36,missed chance
m_198,p_128,open play,left foot,7.48,12.22,1,0,high,81,30,missed chance
m_68,p_36,open play,right foot,11.47,-12.72,2,0,low,25,21,saved by keeper
m_139,p_92,open play,left foot,11.22,14.71,3,0,medium,45,51,missed chance
m_124,p_112,open play,right foot,23.69,1.25,5,0,low,61,51,missed chance
m_99,p_98,open play,right foot,11.47,-2.49,6,2,high,82,59,missed chance
m_18,p_127,open play,right foot,3.99,-10.23,2,0,high,46,21,missed chance
m_185,p_20,open play,left foot,11.47,16.21,1,0,medium,27,1,saved by keeper
m_202,p_42,open play,right foot,11.72,-7.23,2,0,medium,73,10,goal
m_28,p_77,open play,left foot,22.69,-11.22,3,0,medium,23,22,missed chance
m_226,p_116,open play,right foot,24.94,3.74,5,1,medium,6,49,saved by keeper
m_134,p_132,open play,right foot,24.94,3.74,2,0,medium,49,49,missed chance
m_182,p_153,open play,left foot,11.22,9.98,2,0,low,53,39,saved by keeper
m_152,p_85,open play,right foot,26.19,-7.48,3,0,medium,39,47,missed chance
m_154,p_108,open play,right foot,14.46,11.22,2,0,medium,85,40,saved by keeper
m_123,p_57,open play,right foot,7.73,1,1,0,low,78,25,missed chance
m_138,p_152,open play,left foot,9.23,-13.97,1,0,medium,8,5,blocked shot
m_191,p_156,free kick,left foot,24.19,-10.23,6,1,low,47,2,blocked shot
m_203,p_70,open play,left foot,24.44,0.25,2,1,high,17,23,blocked shot
m_93,p_86,open play,right foot,23.69,-15.96,5,2,medium,26,56,missed chance
m_149,p_148,open play,left foot,7.23,2.49,2,0,medium,84,7,missed chance
m_80,p_1,open play,right foot,1.75,-7.48,1,0,low,7,31,blocked shot
m_106,p_17,open play,right foot,13.22,2,2,0,high,84,50,saved by keeper
m_198,p_36,open play,head,6.98,2.24,4,1,medium,50,25,saved by keeper
m_175,p_70,open play,left foot,18.7,-4.74,3,0,low,6,37,saved by keeper
m_230,p_16,free kick,right foot,25.44,-7.48,3,0,low,40,57,missed chance
m_230,p_145,open play,head,5.99,2.74,1,0,medium,3,5,hit the post
m_53,p_132,open play,right foot,26.19,0.25,4,0,medium,34,9,missed chance
m_188,p_113,open play,right foot,12.47,3.49,1,0,medium,69,33,missed chance
m_162,p_138,open play,right foot,26.19,1.25,3,0,low,44,44,blocked shot
m_24,p_29,open play,right foot,24.94,-0.5,2,0,medium,62,43,saved by keeper
m_27,p_114,open play,right foot,15.21,-3.49,5,2,high,63,38,missed chance
m_132,p_24,open play,right foot,13.22,13.47,3,1,low,34,53,blocked shot
m_208,p_13,open play,head,4.24,-2.24,1,0,low,31,38,missed chance
m_79,p_144,open play,right foot,13.72,-24.44,3,0,medium,82,25,saved by keeper
m_104,p_18,open play,right foot,13.47,15.46,3,0,medium,85,7,missed chance
m_86,p_104,open play,head,14.96,0,4,2,medium,27,59,saved by keeper
m_138,p_151,open play,right foot,26.68,2.49,4,1,medium,7,29,saved by keeper
m_215,p_156,open play,left foot,11.47,-2.99,2,0,medium,61,19,missed chance
m_93,p_21,open play,right foot,18.21,13.22,2,0,medium,36,28,missed chance
m_218,p_80,open play,left foot,10.47,-10.47,1,0,medium,46,12,saved by keeper
m_28,p_116,open play,left foot,24.44,8.23,4,0,low,11,59,blocked shot
